Symbol,Start Date,End Date
KR,1/10/2011,9/9/2015
LBTY.A,1/10/2011,9/9/2015
LBTY.K,1/10/2011,9/9/2015
LLY,1/10/2011,9/9/2015
LMT,1/10/2011,9/9/2015
LOW,1/10/2011,9/9/2015
MA,1/10/2011,9/9/2015
MCD,1/10/2011,9/9/2015
MCK,1/10/2011,9/9/2015
MDLZ,1/10/2011,9/9/2015
MDT,1/10/2011,9/9/2015
MDY,1/10/2011,9/9/2015
MET,1/10/2011,9/9/2015
MMM,1/10/2011,9/9/2015
MO,1/10/2011,9/9/2015
MON,1/10/2011,9/9/2015
MRK,1/10/2011,9/9/2015
MS,1/10/2011,9/9/2015
MSFT,1/10/2011,9/9/2015
MU,1/10/2011,9/9/2015
NFLX,1/10/2011,9/9/2015
NKE,1/10/2011,9/9/2015
NXPI,1/10/2011,9/9/2015
ORCL,1/10/2011,9/9/2015
OXY,1/10/2011,9/9/2015
PANW,1/10/2013,9/9/2015
PEP,1/10/2011,9/9/2015
PFE,1/10/2011,9/9/2015
PG,1/10/2011,9/9/2015
PM,1/10/2011,9/9/2015
PSX,1/10/2013,9/9/2015
PXD,1/10/2011,9/9/2015
QCOM,1/10/2011,9/9/2015
QQQ,1/10/2011,9/9/2015
REGN,1/10/2011,9/9/2015
SBUX,1/10/2011,9/9/2015
SCHW,1/10/2011,9/9/2015
SHY,1/10/2011,9/9/2015
SIG,1/10/2011,9/9/2015
SLB,1/10/2011,9/9/2015
SO,1/10/2011,9/9/2015
SPG,1/10/2011,9/9/2015
SPXU,1/10/2011,9/9/2015
SPY,1/10/2011,9/9/2015
SSO,1/10/2011,9/9/2015
SWKS,1/10/2011,9/9/2015
T,1/10/2011,9/9/2015
TFCF.A,1/10/2011,9/9/2015
TGT,1/10/2011,9/9/2015
TLT,1/10/2011,9/9/2015
TNA,1/10/2011,9/9/2015
TQQQ,1/10/2011,9/9/2015
TSLA,1/10/2011,9/9/2015
TWTR,1/10/2014,9/9/2015
TWX,1/10/2011,9/9/2015
TXN,1/10/2011,9/9/2015
UAA,1/10/2011,9/9/2015
UAL,1/10/2011,9/9/2015
UNH,1/10/2011,9/9/2015
UNP,1/10/2011,9/9/2015
UPRO,1/10/2011,9/9/2015
UPS,1/10/2011,9/9/2015
USB,1/10/2011,9/9/2015
USO,1/10/2011,9/9/2015
UTX,1/10/2011,9/9/2015
UVXY,1/10/2012,9/9/2015
V,1/10/2011,9/9/2015
VEA,1/10/2011,9/9/2015
VEU,1/10/2011,9/9/2015
VGK,1/10/2011,9/9/2015
VLO,1/10/2011,9/9/2015
VNQ,1/10/2011,9/9/2015
VOO,1/10/2011,9/9/2015
VTI,1/10/2011,9/9/2015
VTV,1/10/2011,9/9/2015
VWO,1/10/2011,9/9/2015
VXX,1/10/2011,9/9/2015
VZ,1/10/2011,9/9/2015
WBA,1/10/2011,9/9/2015
WFC,1/10/2011,9/9/2015
WMB,1/10/2011,9/9/2015
WMT,1/10/2011,9/9/2015
WW,1/10/2011,9/9/2015
XIV,1/10/2011,9/9/2015
XLB,1/10/2011,9/9/2015
XLE,1/10/2011,9/9/2015
XLF,1/10/2011,9/9/2015
XLI,1/10/2011,9/9/2015
XLK,1/10/2011,9/9/2015
XLP,1/10/2011,9/9/2015
XLU,1/10/2011,9/9/2015
XLV,1/10/2011,9/9/2015
XLY,1/10/2011,9/9/2015
XOM,1/10/2011,9/9/2015
XOP,1/10/2011,9/9/2015
