Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BRK.B,Predicted_Covariance,Future_Cov_45_BRK.B,Beta_Predicted
2013-11-25,4.464079349966786e-05,0.7978216640059126,6.266977383318815e-05,0.9729896187417996,4.219887193195741e-05,4.5990981362811976e-05,0.9452984282699048
2013-11-26,4.5604254902161166e-05,0.8075821571492251,6.425647182333159e-05,0.9781598097189336,4.3716746683187156e-05,5.71790325368441e-05,0.9586111378637049
2013-11-27,5.098239319509307e-05,0.8226583340720577,6.492972535829421e-05,0.9660871367457964,4.733162268093375e-05,5.7556374109759904e-05,0.9283915429354404
2013-11-29,5.306536742177139e-05,0.8360616248309967,6.653690423043867e-05,0.9663007848855384,4.967926625909629e-05,5.757463545844284e-05,0.9361899987281372
2013-12-02,5.1303727815654587e-05,0.8435422692932574,6.828064917829592e-05,0.9644621565823434,4.992638619808492e-05,6.145980694625596e-05,0.9731531864016051
2013-12-03,5.129816798105141e-05,0.8440840820505264,6.67270320076447e-05,1.0097687918788003,4.938414532865928e-05,6.754771624511364e-05,0.9626882844412858
2013-12-04,4.926678581923591e-05,0.8480353594710656,6.710985503489994e-05,1.009137411450915,4.8762304941038924e-05,6.758125870075368e-05,0.9897602234485527
2013-12-05,6.186383108747796e-05,0.8538135377510884,7.04757880617895e-05,1.006888850770577,5.637692869364001e-05,6.955455989232905e-05,0.9113067797873811
2013-12-06,6.149224160789946e-05,0.8593822788961625,7.27714306690169e-05,0.9910662252194108,5.7487975261766406e-05,6.580702851330596e-05,0.9348817632691625
2013-12-09,5.694825981469449e-05,0.8622490340480774,7.20534251735874e-05,1.0025867716827863,5.523320703735858e-05,6.700943065562487e-05,0.9698840178274707
2013-12-10,5.3452041059883435e-05,0.868447756493734,7.322226594654424e-05,0.9859615550870192,5.433096595810105e-05,6.616706136062453e-05,1.0164432429667734
2013-12-11,5.2671389427449466e-05,0.8690700452122292,7.08574121795397e-05,0.9944043602122438,5.3092700046808485e-05,6.357963935585837e-05,1.007998851443616
2013-12-12,5.926873458923956e-05,0.8681555677981212,7.190489447236133e-05,1.0103595041478894,5.6674749467955314e-05,6.54601852679366e-05,0.9562334991752095
2013-12-13,5.102150798536989e-05,0.8747987557672098,6.204999273505433e-05,0.9965038296521448,4.922159349123486e-05,6.516467058450691e-05,0.964722436376221
2013-12-16,5.265033739264804e-05,0.8748664436029049,6.47129936853681e-05,1.0069177142016534,5.106673408206123e-05,6.521783485228406e-05,0.9699222571210353
2013-12-17,5.547285481711756e-05,0.8718391365672782,6.946763952849764e-05,1.0005347530633708,5.41212588711648e-05,6.500821103784036e-05,0.9756350029143318
2013-12-18,5.7755345996717895e-05,0.8661663470977662,7.828049685887012e-05,0.9614881255158164,5.8240378390140515e-05,5.6645656513674944e-05,1.0083980519041507
2013-12-19,6.478693026373803e-05,0.8672963382736366,7.535951001213495e-05,0.9639671287368852,6.060106369448342e-05,5.674156328426335e-05,0.9353902623227468
2013-12-20,6.101338500649426e-05,0.8670420637231917,7.624563992427564e-05,0.9701182006166846,5.9137128709598324e-05,5.7605639133472155e-05,0.9692484477513216
2013-12-23,6.0371580554275465e-05,0.8695892994939716,7.831782776923849e-05,0.9621792572612552,5.979443639218285e-05,5.67122615427491e-05,0.9904401349642693
2013-12-24,6.05937066863415e-05,0.8690697916272346,7.761236509241824e-05,0.9334955896418696,5.959830020884536e-05,5.611394261066706e-05,0.9835724445337404
2013-12-26,6.0130930524985e-05,0.869818275385576,7.780382891760106e-05,0.9752357512773984,5.949465844471756e-05,6.224017578850425e-05,0.9894185558960698
2013-12-27,6.1029823506439453e-05,0.8650897434468685,7.569727005441145e-05,0.9757740872799506,5.879932340309217e-05,6.227322670883654e-05,0.9634522930725511
2013-12-30,6.103786899254316e-05,0.8618415574242597,7.57767479013692e-05,0.9863352749049848,5.8613154381116184e-05,6.301045660933471e-05,0.9602752413960718
2013-12-31,6.15980310886923e-05,0.8600978831024992,7.635909303010278e-05,0.986848677223886,5.8987728783812395e-05,6.263847313327337e-05,0.9576236081130345
2014-01-02,6.274975633376732e-05,0.8563187172821048,7.802468531916761e-05,0.9824812034085,5.991802248686368e-05,6.008294474317863e-05,0.9548725921445561
2014-01-03,6.287727487442676e-05,0.8570368614224211,7.771594380229384e-05,0.9643872099459986,5.9910289708917996e-05,5.963372078633761e-05,0.9528130764026562
2014-01-06,6.194585296328845e-05,0.8428931586549797,8.071785523784793e-05,0.9524564633180334,5.960235974239365e-05,5.864289802052833e-05,0.9621686826673669
2014-01-07,5.985294868622432e-05,0.8299416917834646,7.972297631023144e-05,0.9803500698278884,5.733002210190966e-05,6.26670047758154e-05,0.9578479149366398
2014-01-08,5.957982003469859e-05,0.8237875988213366,8.224962931309856e-05,0.9882896016145994,5.766759212076999e-05,6.33743822962778e-05,0.9679047719040618
2014-01-09,5.8876921963223624e-05,0.8183895543551161,8.330002867558366e-05,0.9789743949788946,5.731327183706666e-05,6.4485343009289e-05,0.9734420537959905
2014-01-10,5.8643073362417135e-05,0.8170621824904958,8.358863895055222e-05,0.9643321192851172,5.72054093947338e-05,6.439590340002855e-05,0.9754845050702151
2014-01-13,6.549653155125348e-05,0.8145860941919038,8.661686506937156e-05,0.9844683130244511,6.135463454209463e-05,6.216403929442646e-05,0.9367615824676508
2014-01-14,6.384952094066409e-05,0.8137300930984541,8.74572707023035e-05,1.013383414522797,6.08075014507717e-05,6.217376486773867e-05,0.9523564242131219
2014-01-15,6.070372053025981e-05,0.815376991979458,8.463934629224583e-05,0.970850255898685,5.8445658702494256e-05,6.063966496193291e-05,0.9628019204088166
2014-01-16,6.085694586035492e-05,0.8137440305146749,8.777322482222396e-05,0.9750494675961178,5.947355783620526e-05,6.126427984946953e-05,0.9772681983199741
2014-01-17,6.130074788390541e-05,0.8067907608843959,8.685067814494678e-05,0.9689558839204496,5.886815295382463e-05,6.0886577390130105e-05,0.9603170432000641
2014-01-21,6.022038567812545e-05,0.7979467670389521,8.975309110897008e-05,0.988860240336472,5.866382725176676e-05,6.320623672378469e-05,0.9741523006066681
