Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BKNG,Predicted_Covariance,Future_Cov_45_BKNG,Beta_Predicted
2014-06-24,3.933090292313687e-05,0.5439188673829829,0.0003391338491695669,1.065005776749805,6.28183683395952e-05,3.503304744472823e-05,1.5971758508153024
2014-06-25,4.004889359785303e-05,0.5400863191835397,0.00034241308302566904,1.0466756468652971,6.324607994933072e-05,3.40903049212182e-05,1.579221653022676
2014-06-26,4.4267929857314866e-05,0.5431069727704062,0.00034449499112160605,1.0318734909596472,6.706893976865171e-05,3.36937261429209e-05,1.5150683572696857
2014-06-27,3.536085878696092e-05,0.521241990265728,0.00031993601583453593,1.0370126677513902,5.5441166890918206e-05,3.384337082010969e-05,1.5678682247208817
2014-06-30,3.524942345217237e-05,0.5215994963118371,0.00029475657416978026,1.0479235538896436,5.3167338734163726e-05,3.4201365911410045e-05,1.508317967421595
2014-07-01,3.707778978776346e-05,0.5192565326889592,0.0002884560787675636,0.9307412507143936,5.3700550242485416e-05,2.9632970086688445e-05,1.4483212335436417
2014-07-02,3.729144432547138e-05,0.5166205068830385,0.00027926673992283374,0.8631767399186044,5.272126848402726e-05,2.7802524300390083e-05,1.413763114774741
2014-07-03,3.7850371933542936e-05,0.5138464639928045,0.00027167195362944415,0.845877995628085,5.210637382863495e-05,2.7012236168348924e-05,1.376640998934501
2014-07-07,3.637233936281704e-05,0.49921430491595964,0.00024613882259913266,0.9297549397240168,4.723486714393525e-05,3.0314591077637967e-05,1.2986480378059717
2014-07-08,3.904012916123487e-05,0.4838156293732238,0.00023164775804543016,0.8778096129064352,4.600971757964595e-05,2.7943396185979267e-05,1.1785237028706241
2014-07-09,3.921043801203444e-05,0.4747405683501758,0.00021758760864234945,0.8537556987514533,4.385047194296379e-05,2.686551801018409e-05,1.118336702321592
2014-07-10,3.784415060760939e-05,0.4634242385826085,0.00021289353177012538,0.8383919736470403,4.1596746115218456e-05,2.676062703039977e-05,1.0991591949445028
2014-07-11,4.137743263306523e-05,0.459091243788676,0.00020642733742211536,0.8442170200873309,4.2429155247289704e-05,2.6944693469143022e-05,1.0254177832527973
2014-07-14,3.5819786180035966e-05,0.45672005749492217,0.00019258460005314184,0.8755914542230786,3.793345123747622e-05,2.853589657701454e-05,1.0590083102902021
2014-07-15,3.740515266448331e-05,0.45463906401087323,0.0001807898060118254,0.8840946471971043,3.7386898084796123e-05,2.8732594195625322e-05,0.9995119768698467
2014-07-16,4.331224214055195e-05,0.4676943928715758,0.00016869334333431931,0.957533821005965,3.997757707343724e-05,3.140824850055922e-05,0.9230087175747348
2014-07-17,4.7474517764657056e-05,0.474442510768868,0.00016306534751144497,0.9130409222646948,4.1744062952071824e-05,2.7759629432327107e-05,0.8792940911797669
2014-07-18,4.82618636397603e-05,0.48527225325115786,0.0001575752619036413,0.9626507006925272,4.231862253244461e-05,2.860414341779614e-05,0.8768542973873189
2014-07-21,3.56854935741795e-05,0.4847417005845089,0.00015232684109798658,0.9399387641245948,3.573916932149769e-05,2.857794200605281e-05,1.0015041335271604
2014-07-22,3.6878426197529086e-05,0.48550716076555794,0.000149077553371599,0.951556308557756,3.599879448865574e-05,2.982013900634428e-05,0.9761477969758839
2014-07-23,3.8554343811198455e-05,0.4904974163612388,0.00014539075593875093,0.93181584391725,3.672330666928687e-05,3.465953227737925e-05,0.9525076305051846
2014-07-24,3.79220014302475e-05,0.4919989381206359,0.00014249386029018793,0.9444174949591596,3.6166615296170404e-05,3.653039894175216e-05,0.9537106147388899
2014-07-25,3.58816002468109e-05,0.5017075643114872,0.00013864566557956855,0.9488075574616482,3.538667025728145e-05,3.630330997639278e-05,0.9862065798034345
2014-07-28,3.90148494586092e-05,0.4991306638588843,0.0001385924330305174,0.9434416691726396,3.670278152941345e-05,3.6236419375428044e-05,0.9407387709736361
2014-07-29,3.5953585678647994e-05,0.5015432581858642,0.00013701161616986782,0.9963644996790798,3.5201258969715515e-05,4.1983996829794965e-05,0.9790750576129805
2014-07-30,3.539196672747045e-05,0.5115085676248277,0.00012397046858753118,0.9950429217973594,3.3881636772921294e-05,4.1928350597751835e-05,0.9573256279827798
2014-07-31,4.5379445989039353e-05,0.5304319589316951,0.00012127766222348717,1.0844470459036868,3.9350448436630725e-05,3.877198375025329e-05,0.86714254832761
2014-08-01,4.584672797284814e-05,0.5325552774128836,0.00011919764444339455,1.1191825408510636,3.936884759182531e-05,3.977092222589221e-05,0.8587057208344457
2014-08-11,3.847004227028839e-05,0.5645671467894372,0.00013265407627720686,1.0614603142672427,4.0330836872426794e-05,6.236052339130799e-05,1.048369965103354
2014-08-12,3.841634430365733e-05,0.5723634567666233,0.0001365640095992889,1.016565233348275,4.1457016573268995e-05,6.055162776591634e-05,1.0791504846368787
2014-08-13,3.776559449586869e-05,0.5879611626041226,0.0001411126734328241,1.0287695320143266,4.292198640946549e-05,5.990629729587987e-05,1.1365367600438774
2014-08-14,3.862814115860239e-05,0.5990624223282901,0.00014647565965514637,1.0225026409162183,4.5061611026470585e-05,6.253061162184196e-05,1.1665487821806688
2014-08-15,3.923523389055349e-05,0.6035830375101786,0.00015077657591470406,1.085636294083927,4.6423949747515746e-05,6.905157077360259e-05,1.1832209252789252
2014-08-18,5.8802594173761744e-05,0.6193604007867386,0.00014713152181042457,1.141341154460239,5.760955778433166e-05,8.106261915183876e-05,0.9797111606011011
2014-08-19,5.790352204668287e-05,0.6270777159857254,0.00014701783909250115,1.1673904895922604,5.785739500072626e-05,8.321056429351437e-05,0.9992033809978014
2014-08-20,5.609710643686182e-05,0.6283272083803805,0.00015424405052012034,1.179602139044496,5.8446741996142496e-05,8.773314729221276e-05,1.0418851471764452
2014-08-21,5.441563613273725e-05,0.6267961548337443,0.00016021549502204588,1.1864232683484082,5.852486719009464e-05,8.969825579927996e-05,1.075515630237854
2014-08-22,5.0059045313325706e-05,0.6238468710849236,0.0001643778007887226,1.1914111799281923,5.6590152657659556e-05,9.00644414951053e-05,1.1304680763177732
2014-08-25,6.652021183637015e-05,0.6468403490170366,0.00017027062606643408,1.2254087099100932,6.884046274796187e-05,9.564009932945253e-05,1.0348803896971825
2014-08-26,6.338834696697776e-05,0.6502907331252927,0.00017436523198118266,1.2275689393160087,6.836632329310958e-05,9.583384442703631e-05,1.0785314109662003
2014-08-27,6.228211919321129e-05,0.6447586787531264,0.00017615363652338683,1.2198787494294967,6.753434528329225e-05,9.642598337029837e-05,1.0843295982557617
2014-08-28,6.139493236265438e-05,0.635689885045528,0.0001761251140189129,1.3393823112542973,6.61031579182745e-05,0.00010977275992254722,1.076687527364784
2014-08-29,6.15753093611576e-05,0.6305186772586303,0.00017677360394332376,1.344649520618379,6.578243800111239e-05,0.00010998639575676728,1.0683249289951386
2014-09-02,7.761239871585492e-05,0.6585719607317,0.00018886443359735476,1.4264603391478492,7.973406018659475e-05,0.00011707787756841195,1.0273366305621787
2014-09-03,7.595624179294328e-05,0.6681676104977418,0.0002013543171203433,1.410352498880486,8.263187857737406e-05,0.00011696119109878948,1.0878879289819072
2014-09-04,7.498131031863036e-05,0.6836746368065928,0.00019746482530413618,1.4068912514911922,8.318994823362119e-05,0.0001170258741867823,1.109475786434093
2014-09-05,7.387822741090312e-05,0.673050741560696,0.0002049438070882518,1.4355018696406925,8.281775244436637e-05,0.00011884395388902762,1.1210035127635443
2014-09-08,7.348698808482049e-05,0.6680543430629546,0.00020783756908800507,1.458776438981111,8.256177907460151e-05,0.00012075867808180963,1.1234884055842196
2014-09-09,8.133593066383054e-05,0.6623117571697009,0.0002476663335272709,1.45026627690557,9.400201696396415e-05,0.00011853613643064662,1.1557255962618023
2014-09-10,8.008754908927675e-05,0.6633962159650189,0.0002637790778679162,1.4465919777698406,9.642189542054086e-05,0.00011796078835432742,1.2039561269761865
2014-09-11,7.945435898388616e-05,0.6632228587510407,0.00028127585343041693,1.4497796838768535,9.91481410463294e-05,0.00011821970128819317,1.2478628273426415
2014-09-12,7.986652544186676e-05,0.6649027846915083,0.0002923072379152133,1.446193932349762,0.00010159219223250624,0.00011660253710655835,1.2720246895735206
2014-09-15,7.976789477234261e-05,0.6639436200444193,0.00031322440575783404,1.4433952522168934,0.00010494773359839737,0.00011631923211125411,1.315663825627064
2014-09-16,8.12776222335961e-05,0.6458881856620075,0.00033596662271453086,1.4199516861225736,0.00010673107961259206,0.0001137466793481633,1.3131668555194862
2014-09-17,8.038458733415224e-05,0.6335151427071685,0.0003533591065580311,1.4233274881807094,0.0001067705641715912,0.00011414176871838534,1.3282467163481797
2014-09-18,8.052555846541116e-05,0.6227594596382144,0.0003744846466669078,1.403384305401718,0.00010814444454387574,0.00011184136391102828,1.3429828566830488
2014-09-19,7.686942885417954e-05,0.6115572531932353,0.0003831421481422369,1.3922282989296486,0.00010495277195110081,0.00011050692740594855,1.365338256255228
2014-09-22,7.562338268336147e-05,0.604810183436436,0.0003906445803614878,1.3826903359902474,0.00010395324398380053,0.00010759711722084136,1.3746177477812316
2014-09-23,7.716105522203933e-05,0.5944787346830266,0.0003915199258121847,1.392647583543755,0.00010332664732176163,0.00010704604910755845,1.3391036064038777
2014-09-24,7.845740621167833e-05,0.5912478598004899,0.0003842920569680834,1.3786328275210666,0.00010266378195222049,0.00010457730327544021,1.3085288809476225
