Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_LBTY.K,Predicted_Covariance,Future_Cov_45_LBTY.K,Beta_Predicted
2013-06-10,7.344670994631798e-05,0.5551681740416723,0.0002694859594106376,0.8330082603052099,7.81049944773902e-05,4.754737612098474e-05,1.0634240054384594
2013-06-11,7.540176794643908e-05,0.5503677807152905,0.00027066319646319113,0.8332437335482962,7.862458559560122e-05,4.588231079978198e-05,1.042741937449682
2013-06-12,7.564969572692771e-05,0.5432730258721633,0.0002596020861242782,0.8470055866890865,7.613350501129955e-05,4.9287032407976155e-05,1.0063953896935456
2013-06-13,7.668406692361186e-05,0.5375975882790968,0.0002568677766263284,0.8264519979144851,7.545094678544471e-05,4.4309789593306895e-05,0.9839194739189366
2013-06-14,7.978958283363962e-05,0.5351995374497402,0.000248482118729175,0.8471845012736854,7.535922047036733e-05,4.544411088673002e-05,0.9444744262855773
2013-06-17,6.406673037804978e-05,0.5441521858843584,0.0002472619636216942,0.956063225000504,6.84881310841997e-05,5.053384896583234e-05,1.069012429385108
2013-06-18,5.269216623890948e-05,0.5571194817868447,0.0002293416979519375,0.9799164940384044,6.124390637293601e-05,5.12731566980353e-05,1.1622962338510134
2013-06-19,5.313666894497608e-05,0.5364916028707546,0.0002280321065595037,0.9093573236108876,5.905519274318203e-05,4.5207513988265255e-05,1.1113830414235164
2013-06-20,6.610900161714408e-05,0.5042336838518133,0.000227277773449872,0.8756240012838846,6.180742298388837e-05,3.0471284015317253e-05,0.9349320284979136
2013-06-21,6.524441916700448e-05,0.5015372558471851,0.000228399128812923,0.9016772514902804,6.122405712108138e-05,3.164026373154931e-05,0.9383799856408824
2013-06-24,5.5679700730278476e-05,0.494891928637525,0.00021532538095544358,0.8935807805804639,5.418841262083143e-05,3.354095544748712e-05,0.9732166644236993
2013-06-25,5.683904438603972e-05,0.4882677160246043,0.00021154526030957307,0.8404410329887665,5.354057653775886e-05,3.0211740753385086e-05,0.9419682740287062
2013-06-26,5.616484134519195e-05,0.48502938840695026,0.00021289410800156528,0.7741135197639779,5.3037389876744605e-05,2.636135880103558e-05,0.9443165618642833
2013-06-27,5.600093181678947e-05,0.48164052155232046,0.00020828455764547067,0.7620650824340327,5.201746466718014e-05,2.5673428548957547e-05,0.928867841652323
2013-06-28,5.651835513949762e-05,0.48870815867253947,0.0002123329395238169,0.7171017661944589,5.353687685550226e-05,2.4089953585185322e-05,0.9472476105039411
2013-07-01,4.0959150997653995e-05,0.4695069011836368,0.0002089610118806893,0.6334902591221202,4.343602601552173e-05,2.172767992898535e-05,1.0604718349266957
2013-07-02,4.708768430286185e-05,0.4544843626731572,0.000200166955336066,0.6411727732620991,4.412338303630969e-05,2.196219294690097e-05,0.9370472064948839
2013-07-03,4.5307854285029834e-05,0.44886587820717594,0.00019468186200555294,0.6453454020545716,4.21566493815026e-05,2.2104855284921422e-05,0.93044903685566
2013-07-05,5.048108536897671e-05,0.4407732098227684,0.0001854597229950986,0.6314456262294238,4.264855641466579e-05,2.1307612296452565e-05,0.8448423028732178
2013-07-08,5.858594159480322e-05,0.436062202890834,0.00018028020560158396,0.6455500705948677,4.481456383294863e-05,2.2073972253604676e-05,0.7649371609130856
2013-07-09,6.185296409698371e-05,0.4271727221304801,0.00017012027497085214,0.6484926835499785,4.381893404554119e-05,2.1628298705408058e-05,0.7084370924703678
2013-07-10,6.043816195282401e-05,0.4217967207455056,0.00016737432330847624,0.646071951514319,4.242318199699957e-05,2.1696950726120857e-05,0.7019270710137359
2013-07-11,6.428746384905295e-05,0.41710663087342364,0.00015478437276656316,0.5145057461683383,4.16077083306173e-05,1.5299983441316186e-05,0.6472134042853558
2013-07-12,6.999194674271863e-05,0.41943677423284714,0.00015423865130163741,0.5102207088998292,4.357999245490605e-05,1.551835717893682e-05,0.6226429536972372
2013-07-15,7.060701256657018e-05,0.4151902301516701,0.0001446721242652298,0.5485613921644998,4.1962704723114204e-05,1.6741815036389586e-05,0.5943135560869488
2013-07-16,3.5042919617133015e-05,0.388451884912883,0.0001386757063358916,0.5086957113477828,2.7079308357220864e-05,1.6700109929031714e-05,0.7727469244309592
2013-07-17,3.792838595062833e-05,0.37694903515081574,0.00013943816781227395,0.4891036778626998,2.7412942215852592e-05,1.6080233524378117e-05,0.7227553065805707
2013-07-18,3.7451029819475974e-05,0.37189749619150186,0.00013758716704910363,0.5036172012351932,2.6695871359316073e-05,1.800350014579027e-05,0.7128207552101329
2013-07-19,4.0860668714576163e-05,0.37158326575143497,0.0001388330074633814,0.484385127409153,2.798692913216908e-05,1.7542259464145375e-05,0.6849356609326697
2013-07-22,3.950888193740232e-05,0.3656596207860131,0.00013802993472376978,0.4854371503726351,2.700293777897177e-05,1.760465234594993e-05,0.6834649945740072
2013-07-23,3.3171208880188284e-05,0.35427696702947026,0.00013157333368406403,0.4761820070521347,2.3404938638216965e-05,1.7310682822003636e-05,0.7055799118673578
2013-07-24,3.471216593235655e-05,0.35481772487015284,0.00012877026829162454,0.5031416583072318,2.372214540957151e-05,1.8292889605925997e-05,0.683395713646874
2013-07-25,3.488954269695917e-05,0.35881219740364856,0.00012551212539243907,0.4748626764598783,2.374420747552856e-05,1.7442162710082377e-05,0.6805537029179236
2013-07-26,3.343176772700175e-05,0.3537942195046887,0.00012047784661275877,0.4976704833284411,2.245349762553051e-05,1.8578508494445963e-05,0.6716216087908373
2013-07-29,3.360094972876798e-05,0.3496071281608413,0.00011726363956150985,0.5425762260293449,2.1945108887024933e-05,2.091088016436416e-05,0.6531097800558978
2013-07-30,3.816574763863081e-05,0.34067036884815016,0.00011358099842484243,0.543345771719501,2.2429732227475818e-05,2.095360615209723e-05,0.587692724896938
2013-07-31,3.750748633018741e-05,0.3379412410212884,0.00011299697458156999,0.6095265448520997,2.2000552240576106e-05,2.467821044606408e-05,0.5865642940425269
2013-08-01,4.226173154810077e-05,0.3331287488376945,0.00011100591558224999,0.6660942444016881,2.2817014522787848e-05,2.5809276507477657e-05,0.5398977677196768
2013-08-02,4.130983358011611e-05,0.33324973522045437,0.000112672308831264,0.6973854815426969,2.2735532611218745e-05,2.8056626170194333e-05,0.5503661148168403
2013-08-05,3.7225611971094185e-05,0.3416067480727078,0.00010637743754342676,0.7656892823034246,2.149671637635518e-05,3.294997122089556e-05,0.5774711344718109
2013-08-06,4.1983018398946586e-05,0.3685690747143346,0.0001051191338610539,0.7750458668555439,2.4484802705605708e-05,3.292986332847817e-05,0.583207297601548
2013-08-07,4.81253999850549e-05,0.3825240744887082,0.00010447579941801833,0.8057412576766391,2.7124004050476195e-05,4.261871906114951e-05,0.5636109841975219
2013-08-08,4.5117615842124565e-05,0.3961799081757365,0.00010153986290064145,0.8103610537040863,2.681537065584695e-05,4.337333608253782e-05,0.5943436982503513
2013-08-09,4.7210405389653165e-05,0.40022155984128904,0.00010332499731856205,0.8072975456011684,2.7952589484482033e-05,4.3313190387434927e-05,0.5920853518154335
2013-08-12,4.729046229109182e-05,0.40695105590946107,9.172978902443607e-05,0.7865427085225234,2.680304631137691e-05,4.315410501314426e-05,0.5667748846774511
2013-08-13,5.1414947954433665e-05,0.43276984724525785,8.66184034046517e-05,0.7067451998887905,2.888063790845101e-05,4.1656508562704694e-05,0.5617167585980323
2013-08-14,5.361675369996386e-05,0.45343753224469274,9.336721934947203e-05,0.6938362589218844,3.208225860379374e-05,4.1010330732593895e-05,0.5983625712090691
2013-08-15,5.120699157562921e-05,0.4530229022996341,9.862935174513319e-05,0.6836550386610807,3.219495913904386e-05,3.750198594593188e-05,0.6287219410555317
2013-08-16,4.9139520575593413e-05,0.4606800886159072,0.00010019969594335624,0.6944798299371341,3.2325712126573e-05,3.7807342177804855e-05,0.6578353176410214
2013-08-19,5.1240075352845624e-05,0.4579983463113635,0.00010396381145656281,0.7025384519790412,3.342796095715199e-05,3.763341720208846e-05,0.6523792310406031
2013-08-20,5.687877447837599e-05,0.44501905229087435,9.806272843529858e-05,0.6823006624243179,3.323576702816749e-05,3.691978900001725e-05,0.5843263560610464
2013-08-21,5.746511661394483e-05,0.4563322365480857,0.00010085708626758201,0.7071291065701262,3.474053517679108e-05,3.743562833842091e-05,0.6045499813422589
2013-08-22,5.43081375808944e-05,0.4757846258276378,9.953802709037875e-05,0.718271685007025,3.4981415058411756e-05,3.7217430335306025e-05,0.6441284237800528
2013-08-23,4.6628310947370826e-05,0.5269105054970951,9.893668230397789e-05,0.7226077424568301,3.578824246230782e-05,3.7371352979302646e-05,0.7675217423745383
2013-08-26,5.7057237442025364e-05,0.5211932318247421,0.00010283671359482748,0.6961307850805964,3.992346546628042e-05,3.5844364882732615e-05,0.6997090510532655
2013-08-27,6.26349019454684e-05,0.5005831137491003,0.00011031158125094807,0.8013308335098659,4.160973513551435e-05,3.628092728157035e-05,0.6643218691671441
2013-08-28,6.352118414260544e-05,0.5027116118704563,0.00011387447037361894,0.7814694138476282,4.27554414290285e-05,3.567055043058222e-05,0.6730894898470765
2013-08-29,6.345432123592429e-05,0.5262022049590391,0.00012156296739623507,0.7787089904637124,4.621510152572691e-05,3.555651482679354e-05,0.728320792431115
2013-08-30,6.533098257867051e-05,0.5289730801814573,0.0001231831554403536,0.7452447726411897,4.7453563206603975e-05,3.3694027113470235e-05,0.7263561840580182
2013-09-03,6.741624909395761e-05,0.5183614948685655,0.00012473285888102995,0.7633495630622238,4.7534120705666066e-05,3.477013546893374e-05,0.7050840315873708
2013-09-04,5.29054408502055e-05,0.49204990367838347,0.0001156650844008236,0.8625961475752965,3.849111213577967e-05,3.8655433011879874e-05,0.7275454379968589
2013-09-05,5.526096611110341e-05,0.4777570391656386,0.0001183236012393223,0.8710484571017735,3.863242950589468e-05,4.294148756987039e-05,0.6990907366372009
2013-09-06,5.903493096893949e-05,0.462143342955485,0.00011728749167798888,0.8445643837982295,3.845537764739611e-05,4.442712974837932e-05,0.6514004000043456
2013-09-09,5.950680039687122e-05,0.4639276619938026,0.0001222446472588767,0.8874439968213171,3.956840041969405e-05,4.535424430885372e-05,0.6649391356248168
