Symbol,Start Date,End Date
LMT,2010-01-04,2015-12-31
LOW,2010-01-04,2015-12-31
MA,2010-01-04,2015-12-31
MCD,2010-01-04,2015-12-31
MCK,2010-01-04,2015-12-31
MDLZ,2010-01-04,2015-12-31
MDT,2010-01-04,2015-12-31
MDY,2010-01-04,2015-12-31
MET,2010-01-04,2015-12-31
MMM,2010-01-04,2015-12-31
MO,2010-01-04,2015-12-31
MON,2010-01-04,2015-12-31
MRK,2010-01-04,2015-12-31
MS,2010-01-04,2015-12-31
MSFT,2010-01-04,2015-12-31
MU,2010-01-04,2015-12-31
NFLX,2010-01-04,2015-12-31
NKE,2010-01-04,2015-12-31
NXPI,2010-08-06,2015-12-31
ORCL,2010-01-04,2015-12-31
OXY,2010-01-04,2015-12-31
PANW,2012-07-20,2015-12-31
PEP,2010-01-04,2015-12-31
PFE,2010-01-04,2015-12-31
PG,2010-01-04,2015-12-31
PM,2010-01-04,2015-12-31
PSX,2012-04-12,2015-12-31
PXD,2010-01-04,2015-12-31
QCOM,2010-01-04,2015-12-31
QQQ,2010-01-04,2015-12-31
REGN,2010-01-04,2015-12-31
SBUX,2010-01-04,2015-12-31
SCHW,2010-01-04,2015-12-31
SHY,2010-01-04,2015-12-31
SIG,2010-01-04,2015-12-31
SLB,2010-01-04,2015-12-31
SO,2010-01-04,2015-12-31
SPG,2010-01-04,2015-12-31
SPXU,2010-01-04,2015-12-31
SPY,2010-01-04,2015-12-31
SSO,2010-01-04,2015-12-31
SWKS,2010-01-04,2015-12-31
T,2010-01-04,2015-12-31
TFCF.A,2010-01-04,2015-12-31
TGT,2010-01-04,2015-12-31
TLT,2010-01-04,2015-12-31
TNA,2010-01-04,2015-12-31
TQQQ,2010-02-11,2015-12-31
TSLA,2010-06-29,2015-12-31
TWTR,2013-11-07,2015-12-31
TWX,2010-01-04,2015-12-31
TXN,2010-01-04,2015-12-31
UAA,2010-01-04,2015-12-31
UAL,2010-01-04,2015-12-31
UNH,2010-01-04,2015-12-31
UNP,2010-01-04,2015-12-31
UPRO,2010-01-04,2015-12-31
UPS,2010-01-04,2015-12-31
USB,2010-01-04,2015-12-31
USO,2010-01-04,2015-12-31
UTX,2010-01-04,2015-12-31
UVXY,2011-10-04,2015-12-31
V,2010-01-04,2015-12-31
VEA,2010-01-04,2015-12-31
VEU,2010-01-04,2015-12-31
VGK,2010-01-04,2015-12-31
VIX,2010-01-05,2015-12-23
VLO,2010-01-04,2015-12-31
VNQ,2010-01-04,2015-12-31
VOO,2010-09-09,2015-12-31
VTI,2010-01-04,2015-12-31
VTV,2010-01-04,2015-12-31
VWO,2010-01-04,2015-12-31
VXX,2010-01-04,2015-12-31
VZ,2010-01-04,2015-12-31
WBA,2010-01-04,2015-12-31
WFC,2010-01-04,2015-12-31
WMB,2010-01-04,2015-12-31
WMT,2010-01-04,2015-12-31
WW,2010-01-04,2015-12-31
XIV,2010-11-30,2015-12-31
XLB,2010-01-04,2015-12-31
XLE,2010-01-04,2015-12-31
XLF,2010-01-04,2015-12-31
XLI,2010-01-04,2015-12-31
XLK,2010-01-04,2015-12-31
XLP,2010-01-04,2015-12-31
XLU,2010-01-04,2015-12-31
XLV,2010-01-04,2015-12-31
XLY,2010-01-04,2015-12-31
XOM,2010-01-04,2015-12-31
XOP,2010-01-04,2015-12-31
