Feature,Gain,Window_Start
Volume_IBM,0.001509,100
Variance_45d_MA_ICE,1.144524,100
MA_45d_ICE,0.006614,100
MA_5d_ICE,0.764935,100
Close_IEF,0.083378,100
Variance_45d_MA_IEF,5.087255,100
Variance_5d_MA_IEF,0.092203,100
Beta_45d_IWB,0.103738,100
Close_JPM,0.005851,100
Volume_KMB,0.123155,100
Volume_LBTY.K,0.000963,100
Variance_45d_LBTY.K,0.007630,100
Variance_45d_MCD,0.355257,100
Variance_45d_MCK,0.004018,100
Variance_45d_MA_MCK,2.176437,100
MA_45d_MDT,3.856079,100
Beta_45d_MDY,0.144884,100
Variance_5d_MA_MDY,0.007221,100
MA_45d_MDY,26.143942,100
Close_MET,5.910177,100
Adj_Close_MET,45.183178,100
Variance_45d_MET,2.369710,100
Variance_45d_MA_MMM,1.298674,100
Variance_5d_MA_MON,0.014117,100
Variance_5d_MA_MRK,0.009285,100
Variance_5d_MA_MSFT,0.002628,100
Variance_5d_MA_NFLX,0.303619,100
Variance_45d_MA_NXPI,0.031014,100
Close_ORCL,0.046125,100
Volume_OXY,0.001352,100
Close_PG,1.686467,100
Log_Return_PXD,0.001071,100
Variance_45d_QCOM,0.016451,100
Volume_QQQ,0.005107,100
Log_Return_SBUX,0.009718,100
Close_SCHW,0.005853,100
Adj_Close_SCHW,0.015188,100
Variance_45d_SCHW,0.003609,100
Close_SLB,0.028161,100
MA_5d_SPG,0.000305,100
Adj_Close_SWKS,0.003931,100
Variance_45d_SWKS,0.046381,100
Variance_45d_TFCF.A,0.098179,100
Variance_5d_MA_TLT,0.418839,100
MA_45d_UAA,0.065368,100
Volume_UAL,0.001007,100
Log_Return_UNH,0.002286,100
Variance_5d_MA_UPS,0.014971,100
Variance_5d_MA_USB,0.006302,100
Beta_45d_VEU,3.987741,100
Variance_5d_MA_VGK,0.052392,100
Close_VIX,0.338742,100
Adj_Close_VIX,0.001342,100
Volume_VLO,0.001201,100
Variance_45d_MA_VNQ,0.068895,100
Beta_45d_VOO,0.014201,100
Variance_45d_MA_VWO,0.507913,100
Variance_45d_VZ,0.048353,100
Log_Return_WW,0.022273,100
Close,0.588014,120
Volume,0.057940,120
RQ_daily,0.013999,120
RV_x_RQ,0.014475,120
target_multiplier,57.104122,120
Close_AABA,0.021938,120
Beta_45d_AABA,0.017233,120
Beta_45d_ABT,0.019582,120
Close_ACN,0.008907,120
Variance_45d_AET,0.001953,120
Variance_45d_MA_AET,0.779125,120
Beta_45d_AGG,0.003612,120
Variance_45d_MA_AIG,0.017587,120
Volume_APC,0.001818,120
Variance_5d_MA_BAC,3.260960,120
MA_45d_BHC,0.073991,120
MA_5d_BHC,0.000408,120
Variance_45d_MA_BKNG,2.527603,120
MA_45d_BKNG,0.025554,120
Close_BK,35.767834,120
Volume_BK,0.001941,120
Beta_45d_BK,0.438339,120
Variance_45d_MA_BK,0.072069,120
Variance_5d_MA_BK,0.068187,120
MA_45d_BK,0.001658,120
MA_5d_BK,0.004111,120
Volume_BLK,0.000071,120
Variance_45d_MA_BLK,0.001320,120
Close_BND,0.005067,120
Close_CB,0.072232,120
Volume_CELG,0.003566,120
Beta_45d_CRM,0.006554,120
Volume_CSCO,0.001942,120
Variance_45d_DOW,0.006298,120
Variance_45d_DUK,0.005059,120
Beta_45d_DXJ,0.004984,120
MA_45d_DXJ,0.814796,120
MA_5d_EEM,0.000198,120
Variance_45d_MA_EFA,0.037318,120
Variance_5d_MA_EFA,0.000302,120
Volume_EPD,0.000836,120
MA_45d_ESRX,0.052024,120
Variance_45d_MA_EWG,0.046861,120
Close_EWJ,0.022855,120
Variance_5d_MA_FDX,0.028211,120
Variance_45d_GE,0.125492,120
Variance_45d_GS,0.073586,120
Close_HYG,0.009694,120
MA_5d_HYG,0.004829,120
Volume_ICE,0.054947,120
Variance_45d_MA_IEF,2.848026,120
Variance_5d_MA_IEF,0.084289,120
MA_45d_IEF,0.001320,120
Close_ILMN,0.002917,120
Close_INTC,0.000187,120
Beta_45d_IWB,0.139396,120
Beta_45d_IWD,0.001822,120
Beta_45d_IYR,0.000838,120
Close_JPM,0.005264,120
MA_5d_JPM,0.000733,120
Variance_5d_MA_LBTY.A,0.042881,120
Variance_5d_MA_MA,0.441578,120
Variance_45d_MA_MCK,128.571228,120
Variance_5d_MA_MCK,5.527336,120
MA_5d_MDT,0.003691,120
Beta_45d_MDY,0.427036,120
Variance_45d_MA_MET,0.562504,120
Beta_45d_MON,0.009008,120
Close_MO,0.481087,120
Volume_MRK,0.004558,120
Variance_5d_MA_MRK,0.014737,120
MA_45d_MRK,0.610068,120
Variance_5d_MA_MSFT,0.010210,120
Variance_5d_MA_NFLX,0.079085,120
MA_5d_NFLX,0.002806,120
Close_NXPI,0.015782,120
MA_45d_NXPI,3.062443,120
Volume_ORCL,0.003426,120
MA_45d_PG,0.020200,120
Beta_45d_PM,0.008518,120
Beta_45d_REGN,0.001307,120
Volume_SBUX,0.002142,120
Close_SLB,0.010814,120
Beta_45d_SLB,1.139523,120
Log_Return_SO,0.002817,120
MA_5d_SO,0.001382,120
Adj_Close_SPG,0.174326,120
Log_Return_SPG,0.000020,120
Variance_5d_MA_SPG,0.141247,120
Volume_SWKS,0.001737,120
MA_45d_SWKS,0.001516,120
Variance_45d_TFCF.A,0.435894,120
MA_45d_TLT,0.025018,120
Beta_45d_TXN,1.078770,120
Variance_45d_UNH,0.001769,120
Volume_UNP,0.001588,120
Close_USO,0.000852,120
MA_5d_USO,0.000293,120
MA_45d_VGK,9.428605,120
Close_VIX,1.863602,120
Variance_5d_MA_VIX,0.045843,120
Volume_VLO,0.011608,120
Beta_45d_VLO,0.000253,120
Beta_45d_VOO,0.009704,120
Volume_VWO,0.001366,120
Beta_45d_VWO,0.001155,120
Variance_45d_MA_VWO,0.316079,120
Variance_45d_V,0.072049,120
MA_45d_WMT,0.457585,120
Volume_XLB,0.001437,120
MA_45d_XLY,0.012495,120
Close_XOM,0.002782,120
Variance_45d_XOP,0.005653,120
Variance_5d_MA_XOP,0.046771,120
Close,0.088999,135
RV_x_RQ,0.021746,135
target_multiplier,30.808271,135
Log_Return_AAPL,0.005158,135
Variance_5d_MA_ABT,1.294813,135
Variance_45d_MA_ACN,1.850816,135
Close_AET,0.011580,135
Volume_AGG,0.004657,135
Close_AGN,0.008503,135
Adj_Close_AGN,0.103317,135
Variance_45d_MA_AIG,0.050400,135
MA_5d_AIG,0.002220,135
Variance_45d_AMGN,0.005113,135
MA_45d_APC,0.854013,135
Volume_BDX,0.002666,135
Variance_5d_MA_BHC,0.005357,135
MA_45d_BKNG,0.044512,135
Variance_45d_MA_BK,0.001807,135
Variance_5d_MA_BK,0.015606,135
Volume_BLK,0.001238,135
Variance_5d_MA_BLK,0.011898,135
Close_BMY,0.018098,135
Variance_45d_MA_BMY,0.252817,135
MA_45d_BND,0.003603,135
Beta_45d_BRCM,0.008651,135
Variance_45d_MA_BRK.B,0.471455,135
Adj_Close_CB,0.001569,135
Variance_45d_MA_CB,0.106551,135
Variance_5d_MA_CMCS.A,0.011176,135
Variance_5d_MA_CMG,0.373661,135
MA_45d_COP,1.701475,135
MA_5d_COP,0.003822,135
Variance_5d_MA_CRM,0.009186,135
Variance_45d_MA_CVS,0.860869,135
Variance_45d_DAL,0.003745,135
Close_DXJ,0.310798,135
Volume_DXJ,0.002358,135
Variance_5d_MA_DXJ,0.141429,135
MA_45d_EEM,0.112246,135
Adj_Close_EFA,0.077579,135
Variance_45d_EFA,1.767475,135
Variance_45d_MA_EFA,0.567179,135
Variance_45d_MA_EOG,0.060948,135
Beta_45d_EPD,0.018653,135
MA_45d_EPD,0.608501,135
Beta_45d_ESRX,0.023514,135
Volume_EWJ,0.025261,135
Volume_EWZ,0.030903,135
Beta_45d_EWZ,0.020601,135
Close_EXPE,0.471315,135
Adj_Close_EXPE,0.050154,135
Variance_45d_MA_F,125.085739,135
Close_GDX,0.315475,135
Volume_GDX,0.009288,135
Log_Return_GDX,0.000916,135
Volume_GOOG.L,0.005802,135
Beta_45d_GS,0.011952,135
Volume_IBB,0.005081,135
Beta_45d_ICE,2.218681,135
Adj_Close_IEF,0.023230,135
SPY_Return_IEF,0.000566,135
Beta_45d_IEF,1.450573,135
MA_45d_IEF,0.001052,135
Beta_45d_IJH,6.253624,135
Variance_45d_MA_IJH,1.881937,135
Close_ILMN,0.005247,135
Volume_ILMN,0.002628,135
Variance_45d_MA_INTC,5.140877,135
Volume_IWF,0.002091,135
Volume_IWM,0.016171,135
Variance_45d_JNJ,0.106136,135
MA_5d_JNJ,0.002266,135
Close_KR,0.043410,135
Beta_45d_LBTY.K,0.008439,135
Variance_5d_MA_LOW,0.002662,135
Close_MA,0.010705,135
Log_Return_MA,0.030536,135
MA_45d_MA,0.008083,135
Log_Return_MCD,0.005433,135
Beta_45d_MCK,0.015364,135
MA_45d_MDLZ,0.019101,135
Log_Return_MDT,0.010421,135
Beta_45d_MDY,0.427236,135
Variance_45d_MDY,0.001123,135
Variance_45d_MA_MMM,1.118193,135
Variance_5d_MA_MON,7.907730,135
Log_Return_MO,0.002124,135
Variance_45d_MA_MRK,45.391075,135
Variance_5d_MA_MSFT,0.094301,135
Log_Return_NFLX,0.005936,135
Variance_45d_NFLX,0.003981,135
Beta_45d_NXPI,0.008915,135
MA_45d_NXPI,0.580373,135
Variance_45d_MA_OXY,0.013677,135
Log_Return_PEP,0.005131,135
MA_5d_PEP,0.004174,135
Variance_45d_MA_PG,0.071774,135
Log_Return_REGN,0.043126,135
Variance_45d_MA_SIG,5.772919,135
MA_45d_SO,0.026149,135
Close_SPG,0.026227,135
Beta_45d_SPG,0.000957,135
Variance_5d_MA_SWKS,0.006338,135
Variance_5d_MA_TQQQ,0.092556,135
Volume_TWX,0.058356,135
Variance_5d_MA_T,50.387463,135
Log_Return_UPS,0.008712,135
Close_VIX,0.002225,135
MA_45d_VIX,0.011510,135
MA_5d_VIX,0.000141,135
Close_VLO,0.063914,135
Variance_45d_VLO,0.000343,135
Variance_45d_MA_VLO,1.235891,135
Volume_VNQ,0.030598,135
Beta_45d_VXX,0.610540,135
Volume_V,0.088129,135
Variance_45d_WFC,0.005273,135
Close_WW,0.113818,135
Adj_Close_WW,0.185317,135
Beta_45d_XLE,0.005803,135
Volume_XLF,0.003834,135
Volume_XLK,0.015194,135
MA_45d_XOM,0.053763,135
MA_45d_XOP,0.108001,135
Close,0.021985,105
Volume,0.001556,105
MA_45d,37.835621,105
RV_x_RQ,0.000500,105
target_multiplier,30.729000,105
Close_AABA,0.043838,105
Beta_45d_AABA,0.007791,105
Volume_AGG,0.002449,105
Log_Return_AGN,0.007237,105
Log_Return_AIG,0.001974,105
Close_AMGN,0.027468,105
Volume_AMJ,0.001211,105
Log_Return_AMLP,0.001096,105
MA_45d_AMLP,0.034869,105
MA_45d_AMZN,0.016741,105
Variance_45d_BAC,0.049441,105
MA_45d_BIDU,0.007344,105
Variance_45d_MA_BKNG,18.902491,105
MA_45d_BKNG,4.651207,105
MA_5d_BKNG,0.302563,105
Close_BK,2.491184,105
Adj_Close_BK,143.927490,105
Variance_45d_BK,2.320190,105
Variance_45d_MA_BK,12.888535,105
Variance_5d_MA_BK,0.325623,105
Close_BMY,0.042129,105
Variance_45d_BP,0.001047,105
Close_BRK.B,0.005108,105
Close_CB,0.003480,105
Volume_CELG,0.003094,105
Close_DXJ,0.182005,105
Variance_5d_MA_DXJ,0.130923,105
Variance_45d_MA_EEM,0.343846,105
Beta_45d_EFA,0.031956,105
Variance_45d_MA_EFA,0.002467,105
Variance_5d_MA_EFA,0.397167,105
MA_5d_EFA,0.010398,105
Adj_Close_EOG,1.269997,105
Variance_45d_MA_EOG,0.022805,105
Beta_45d_EPD,0.493985,105
Close_ESRX,0.005305,105
Variance_45d_MA_EWG,0.007089,105
Log_Return_EWJ,0.005172,105
Beta_45d_EWZ,0.905254,105
Variance_5d_MA_EWZ,0.123391,105
Beta_45d_EXPE,0.083072,105
Variance_45d_F,0.783476,105
Variance_45d_GE,0.169586,105
Volume_GILD,0.004148,105
Close_HAL,0.006745,105
Volume_HAL,0.001013,105
MA_45d_HEDJ,0.002271,105
Beta_45d_ICE,0.024578,105
Variance_45d_ICE,0.002023,105
Variance_45d_MA_ICE,1.833839,105
Close_IEF,0.049169,105
Adj_Close_IEF,0.047310,105
Variance_45d_IEF,1.363260,105
Variance_45d_MA_IEF,11.071309,105
Variance_5d_MA_IEF,0.083723,105
Beta_45d_IJH,0.119579,105
Variance_45d_MA_IJH,0.861309,105
Adj_Close_ILMN,0.252375,105
Beta_45d_ILMN,0.063048,105
Variance_45d_ILMN,0.002232,105
Volume_INTC,0.000659,105
Variance_5d_MA_JPM,0.041915,105
Adj_Close_KMB,0.022117,105
Close_KR,0.453651,105
Variance_45d_MCD,0.181419,105
Variance_45d_MA_MCK,4.074615,105
Adj_Close_MDT,0.042751,105
MA_45d_MDT,5.922939,105
Beta_45d_MDY,0.225956,105
MA_45d_MDY,21.422558,105
Close_MMM,0.000053,105
Variance_45d_MA_MO,0.027818,105
Variance_5d_MA_MRK,0.008713,105
MA_45d_MU,0.097539,105
Variance_5d_MA_NFLX,0.011899,105
Log_Return_PEP,0.001164,105
Beta_45d_PM,0.017770,105
Volume_PXD,0.002471,105
Volume_QCOM,0.001143,105
Log_Return_SBUX,0.004619,105
Close_SLB,0.008999,105
Adj_Close_SLB,0.003822,105
Volume_SO,0.000429,105
Beta_45d_SPG,0.072118,105
Variance_45d_MA_SPG,0.262597,105
Beta_45d_SPXU,0.002380,105
Close_SWKS,0.217897,105
Variance_45d_SWKS,0.526969,105
Variance_45d_TFCF.A,0.310376,105
MA_5d_T,0.004532,105
Close_UAA,0.006271,105
Variance_45d_MA_UNH,0.004427,105
Beta_45d_VEU,3.443504,105
Adj_Close_VGK,1.169762,105
Adj_Close_VIX,0.004850,105
Log_Return_VLO,0.001089,105
Variance_45d_MA_VWO,0.356045,105
Close_VZ,0.005378,105
Beta_45d_WMT,0.002840,105
Log_Return_XLE,0.000993,105
Beta_45d_XLK,0.301469,105
MA_45d_XLP,0.016205,105
Log_Return_XLU,0.001753,105
Beta_45d_XOM,0.240112,105
Close,0.922695,130
RQ_daily,0.043915,130
target_multiplier,0.060683,130
Volume_AABA,0.004210,130
Log_Return_AAPL,0.010917,130
Beta_45d_ABT,0.052008,130
Variance_45d_ABT,0.122700,130
Variance_5d_MA_ABT,5.599121,130
Variance_5d_MA_AIG,0.011052,130
Beta_45d_APC,4.677376,130
Variance_5d_MA_BIDU,0.007177,130
MA_45d_BIDU,0.019663,130
Close_BKNG,0.309471,130
Variance_45d_MA_BKNG,2.358273,130
Variance_5d_MA_BKNG,0.001507,130
MA_45d_BKNG,0.083793,130
Close_BK,0.000718,130
Volume_BK,0.006863,130
Variance_45d_BK,7.340210,130
Variance_45d_MA_BK,0.224160,130
Variance_5d_MA_BK,0.133587,130
Volume_BLK,0.001317,130
SPY_Return_BLK,0.003839,130
Variance_5d_MA_BLK,0.006344,130
Beta_45d_BMY,0.002176,130
Variance_45d_BMY,0.010813,130
Variance_45d_BND,0.039295,130
Log_Return_BP,0.029121,130
Volume_BRCM,0.002679,130
Variance_45d_MA_BRCM,2.057710,130
Variance_45d_CB,0.025120,130
MA_45d_CELG,0.006567,130
Variance_45d_COP,0.027173,130
MA_45d_CVX,1.322371,130
Close_DXJ,0.026297,130
Variance_45d_MA_DXJ,0.029014,130
Variance_5d_MA_DXJ,0.002607,130
MA_5d_EEM,0.001419,130
Variance_45d_MA_EFA,0.351587,130
MA_45d_EFA,0.000799,130
Variance_45d_EOG,0.002735,130
Variance_5d_MA_EOG,0.004081,130
MA_45d_EOG,0.135574,130
MA_45d_ESRX,0.002245,130
MA_5d_ESRX,0.222209,130
MA_45d_EWG,0.003486,130
Volume_EWJ,0.017131,130
Log_Return_EXPE,0.002020,130
Log_Return_EZU,0.002507,130
Beta_45d_FDX,0.156345,130
Variance_45d_MA_F,1.442214,130
Adj_Close_GDX,0.025654,130
Beta_45d_GILD,0.001687,130
MA_45d_GS,0.018014,130
Log_Return_HD,0.024107,130
Beta_45d_IBB,0.005736,130
Close_ICE,0.006046,130
Beta_45d_ICE,0.356040,130
MA_45d_ICE,0.101313,130
Close_IEF,4.234283,130
Adj_Close_IEF,0.123708,130
SPY_Return_IEF,0.002874,130
Variance_45d_MA_IEF,0.096913,130
Variance_45d_MA_IJH,0.093437,130
Variance_45d_ILMN,0.006535,130
Variance_45d_INTC,5.937943,130
Variance_5d_MA_INTC,0.023144,130
Beta_45d_IVV,0.002206,130
Log_Return_JPM,0.007170,130
Beta_45d_MCK,0.046512,130
Variance_45d_MA_MDT,0.066669,130
MA_5d_MDT,0.002407,130
Beta_45d_MDY,1.431331,130
Variance_45d_MA_MDY,1.232182,130
Close_MET,0.000895,130
Volume_MET,0.000106,130
Beta_45d_MET,0.006652,130
Log_Return_MMM,0.018122,130
Variance_45d_MA_MMM,1.005045,130
Volume_MON,0.006092,130
Log_Return_MON,0.002448,130
Variance_45d_MA_MRK,183.874008,130
Variance_5d_MA_MRK,0.025291,130
Close_MS,0.002729,130
Volume_MS,0.006045,130
Variance_45d_MS,0.003938,130
Variance_5d_MA_NFLX,0.013942,130
Close_NXPI,0.010011,130
Beta_45d_ORCL,0.001745,130
MA_45d_ORCL,0.015059,130
Variance_45d_MA_PG,0.998561,130
Close_PM,0.498919,130
Beta_45d_PM,0.009272,130
MA_45d_PXD,0.027552,130
Log_Return_QCOM,0.009318,130
Variance_45d_MA_SIG,3.678467,130
Beta_45d_SLB,0.081168,130
Log_Return_SO,0.002735,130
SPY_Return_SO,0.022488,130
Beta_45d_SO,0.000816,130
Beta_45d_SSO,0.002059,130
Variance_45d_MA_SWKS,57.629852,130
Volume_TFCF.A,0.003413,130
Close_TGT,0.475975,130
MA_45d_TLT,0.004971,130
Beta_45d_TQQQ,2.413975,130
Variance_5d_MA_TQQQ,0.381271,130
Variance_5d_MA_T,65.189407,130
Beta_45d_UNP,0.005793,130
Beta_45d_UPRO,0.160220,130
Variance_45d_UPRO,0.390164,130
Close_VIX,0.039112,130
Log_Return_VIX,0.000238,130
Variance_5d_MA_VIX,0.021500,130
MA_45d_VIX,0.022611,130
Volume_VLO,0.028591,130
Variance_45d_MA_VLO,1.494576,130
Beta_45d_VOO,0.070886,130
Beta_45d_VXX,0.058041,130
Beta_45d_VZ,0.026583,130
Variance_45d_VZ,0.005438,130
Close_WW,0.218264,130
Adj_Close_WW,0.166645,130
Volume_XLU,0.006663,130
Volume_XOP,0.006941,130
Close,0.250859,110
Volume,0.001741,110
RQ_daily,0.016903,110
target_multiplier,38.309605,110
MA_45d_AABA,0.000349,110
Beta_45d_AAPL,0.004827,110
Beta_45d_ABT,0.037922,110
MA_45d_AMZN,0.067975,110
Beta_45d_APC,0.003435,110
MA_45d_AVGO,0.001117,110
Log_Return_BKNG,0.000221,110
Variance_45d_BKNG,0.016751,110
Variance_45d_MA_BKNG,39.065147,110
MA_45d_BKNG,17.018829,110
Close_BK,0.003284,110
Log_Return_BK,0.002742,110
Variance_45d_BK,1.548956,110
Variance_45d_MA_BK,18.849228,110
Variance_5d_MA_BK,0.293404,110
MA_45d_BK,0.004575,110
Volume_BLK,0.011732,110
Close_BND,0.038935,110
MA_45d_BRK.B,0.011142,110
Close_CAT,0.004987,110
Close_CB,0.005467,110
Beta_45d_COP,0.016018,110
MA_45d_COP,0.072463,110
Log_Return_CVS,0.000591,110
MA_5d_CVS,0.002190,110
Beta_45d_CVX,0.014667,110
Log_Return_DUK,0.004839,110
Close_DXJ,0.012273,110
Log_Return_DXJ,0.007530,110
Variance_5d_MA_DXJ,1.886002,110
Variance_45d_MA_EFA,0.482570,110
Log_Return_EPD,0.001286,110
Beta_45d_EPD,0.152737,110
Close_ESRX,0.005183,110
MA_45d_EWG,0.151053,110
Volume_EWJ,0.013487,110
Beta_45d_EWZ,0.015667,110
Variance_45d_EWZ,0.004922,110
Adj_Close_EXPE,0.049444,110
Beta_45d_EXPE,0.016114,110
Variance_45d_EXPE,0.003899,110
MA_45d_EZU,0.023501,110
Variance_45d_GE,0.123865,110
Beta_45d_HON,0.004075,110
Variance_45d_MA_ICE,0.961876,110
MA_45d_ICE,0.125450,110
MA_5d_ICE,0.108330,110
Variance_45d_IEF,0.060290,110
Variance_45d_MA_IEF,48.377464,110
Beta_45d_IJH,0.128645,110
Variance_45d_IJH,2.762939,110
Variance_45d_MA_IJH,0.118268,110
MA_45d_IJH,0.003383,110
Close_ILMN,0.115835,110
Beta_45d_ILMN,0.897052,110
MA_45d_ILMN,0.002755,110
Beta_45d_JNJ,0.099060,110
Close_JPM,0.087265,110
Variance_45d_JPM,0.025869,110
Volume_KMB,0.001861,110
Variance_5d_MA_LBTY.K,0.115399,110
Close_LOW,0.005555,110
Variance_45d_LOW,0.310216,110
Variance_5d_MA_MA,0.374556,110
Variance_45d_MA_MCK,63.560650,110
Variance_5d_MA_MCK,0.874161,110
Adj_Close_MDT,0.014765,110
MA_45d_MDT,0.237590,110
MA_5d_MDY,0.742162,110
Variance_45d_MA_MET,0.344991,110
Volume_MMM,0.005176,110
Variance_45d_MA_MMM,0.067616,110
MA_5d_MMM,0.010225,110
Close_MON,0.000376,110
Adj_Close_MO,1.192452,110
Variance_5d_MA_MRK,0.027698,110
Variance_45d_MS,0.010655,110
MA_5d_NFLX,0.063218,110
Variance_5d_MA_NXPI,0.052025,110
MA_45d_PFE,0.077731,110
Volume_PM,0.003273,110
Beta_45d_PM,0.026949,110
Volume_QQQ,0.027942,110
Volume_SO,0.010633,110
Adj_Close_SO,0.003038,110
Close_SPG,0.048225,110
Volume_SPG,0.003616,110
Variance_45d_MA_SPG,1.514118,110
Variance_5d_MA_SPG,1.154194,110
MA_45d_SSO,0.008516,110
Beta_45d_TXN,2.921408,110
