Symbol,MSE,RMSE,MAE,R2,N
APC,5.9415285749549205e-05,0.007708131145066825,0.00535073282161501,-2239.145726874674,1264
WFC,5.0584782741934835e-05,0.007112297993049422,0.0047119904506562615,-2240.003306703783,1264
ACN,3.0628344469305035e-05,0.005534288072489996,0.00380205590944699,-2242.020558881129,1264
LBTY.K,2.9411711361913453e-05,0.005423256527393247,0.0035606028843233424,-2242.5874107454188,1259
COST,1.3118882972856974e-05,0.0036219998582077517,0.002487717409562019,-2247.8592360677344,1264
ICE,2.6865252657537098e-05,0.0051831701358856725,0.003586068093370299,-2264.0183112289787,1264
CB,2.560067084192398e-05,0.00505971054922354,0.0034121304627046786,-2272.7215702384765,1259
DOW,7.17283858811815e-05,0.008469261235856496,0.005581074825761243,-2277.037639091621,1264
MCK,2.1822342205645828e-05,0.004671438986612779,0.0031222694384259765,-2283.0771706927603,1264
VLO,6.815190644276696e-05,0.008255416794006645,0.005389572582065716,-2286.10120201343,1264
F,4.478684928260568e-05,0.006692297758065288,0.004602819609356686,-2286.4554576472046,1259
QCOM,3.0761837351573556e-05,0.005546335488552199,0.003802088444787987,-2302.902071106704,1264
V,2.1627476134405592e-05,0.004650535037434466,0.0035229203694960953,-2309.7235601042985,1264
SLB,5.129654053486543e-05,0.007162160325967677,0.0048861795641261425,-2326.5112343895585,1259
TSLA,3.603196865215068e-05,0.006002663463176215,0.004697859049777827,-2327.270072025831,1142
EXPE,2.913264777054832e-05,0.005397466791981987,0.004220656601078839,-2334.0306186354496,1264
CRM,4.345234323486596e-05,0.00659183913903138,0.004873865390745681,-2334.74794341519,1264
GOOG.L,2.039520613207781e-05,0.004516105194974737,0.0033096353428178544,-2338.7310948587206,1264
TWX,2.7097157632816524e-05,0.00520549302495129,0.003658391201609257,-2342.4127177796595,1259
EWG,6.250335850651168e-05,0.007905906558169763,0.00515001999014851,-2344.2093303815745,1259
XOP,6.93987723163748e-05,0.00833059255493718,0.005725063886414467,-2354.004546612766,1264
COP,2.6139118562755545e-05,0.005112643011472202,0.0036595294082787016,-2356.5663179159783,1264
XLF,4.878653102384113e-05,0.006984735572936253,0.004562567456186061,-2362.6335887870064,1264
MDLZ,8.63351895821607e-06,0.0029382850369247824,0.0022443494312935335,-2362.9016121537916,1259
JPM,5.721632644155092e-05,0.007564147436529177,0.0050726969089077536,-2364.3008426283022,1264
BA,3.307927036589215e-05,0.005751458107809892,0.003941637093143001,-2369.1451356187067,1264
AVGO,3.85406113252784e-05,0.006208108514296315,0.004708136671787104,-2372.0979983524708,1264
XLU,1.0158384995267916e-05,0.003187222144010034,0.0021864657635441245,-2372.344112111259,1259
SO,3.708162693147637e-06,0.0019256590282673714,0.001428327256022275,-2372.7400593227962,1264
VZ,8.895633494412313e-06,0.0029825548602519136,0.0022030081116637874,-2382.78204510982,1264
WMT,7.16689951525499e-06,0.002677106556574652,0.001897241505401349,-2390.4561810456744,1264
EOG,5.091596527528956e-05,0.0071355423953116245,0.005118382166195873,-2390.579653756127,1264
TNA,0.00040491016635268897,0.02012237973880547,0.013007406530774002,-2394.0902142446776,1264
CVS,1.6842393552193762e-05,0.004103948531864619,0.002961494800203587,-2397.1002534957665,1264
XOM,2.445347704514086e-05,0.004945045707083086,0.0034536885527086353,-2400.340879574507,1264
XLE,4.158145737779973e-05,0.006448368582657146,0.004413982612814265,-2407.7429647416166,1264
MET,7.394903584370454e-05,0.008599362525426204,0.005851225253086636,-2413.9928595892698,1264
FDX,3.4296234798735486e-05,0.005856298728611399,0.00411840672870794,-2415.208621450068,1264
BLK,5.733281937512938e-05,0.007571843855701818,0.005149821780912304,-2415.560455859577,1264
IWN,4.28274527786926e-05,0.006544268697012112,0.004294847514648425,-2416.435311723118,1264
VGK,5.1775062166632795e-05,0.007195489015114455,0.004747031521685826,-2417.7473579398225,1264
CAT,4.828252506727433e-05,0.006948562805881108,0.004746680855757659,-2426.1838011805776,1259
DIS,3.1873126202776926e-05,0.005645628946607891,0.0039251064059901645,-2430.39778289909,1264
DD,3.453070034675581e-05,0.005876282868170644,0.004009034852672858,-2431.7615490371845,1264
MMM,2.84618356045074e-05,0.005334963505452254,0.003667142109771763,-2433.9223703300695,1264
HON,4.2319385247489e-05,0.006505335137215376,0.004439988944638742,-2435.1326308115176,1264
CVX,2.9391407061009442e-05,0.005421384238458795,0.003725931086853905,-2441.2061281856227,1157
BK,5.102233406898485e-05,0.007142991954985309,0.004900911365780944,-2445.589251494578,1264
